CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
37.454011884736246,91.09271844938425,28.321780190598396,0,0.9280132350696455,4.518798178485609,79.31428739967394,2.44167290997115,11,595,12.009294168699611,229.8436674040646,22.553837621017692,24.875821343721675
95.07143064099162,82.2537242923169,1.182804341055177,1,1.0136677511521877,4.902312094128994,85.3784921704667,0.8036833443032583,12,536,21.032236273447072,369.1023944987696,17.6509706765297,13.79744140785938
73.1993941811405,94.9799913291924,21.167255175470654,0,1.0642677492031427,3.21279664840132,24.197713031704538,10.528205437594064,12,798,12.246179838412386,234.90675842169054,6.379928595340285,36.550517456974156
59.86584841970366,72.571950838836,27.757449522469976,0,0.9295227090042362,3.763174742525541,96.06269755131997,4.672859267746503,7,341,14.09455769509511,171.8399125760384,2.9105465471126832,3.8311200996101356
15.601864044243651,61.34151959357899,5.417260353820006,0,0.5523255165984102,4.085559279615416,19.692570445342838,6.50113157121076,13,516,16.162627806879073,212.54024874153666,1.9271572757137767,33.201651655565875
15.599452033620265,41.82430362906189,17.038356916578884,1,0.8505077648692336,4.417480065019541,95.14298103618323,11.616789744609108,8,757,15.56571325950819,283.0301329001727,17.780881999286333,11.878000728388493
5.8083612168199465,93.27284833540132,27.464648927641257,0,0.6500824992443135,3.136946236507151,99.4819293965951,0.7987767349706743,22,726,21.11725876912776,290.15434214219295,24.751059574284,24.463963052580155
86.61761457749351,86.60638895004084,1.0183793575739652,0,0.5037364976368409,3.420072292659953,71.17228057460487,7.779816089425147,9,755,12.40288945734542,413.20009253888077,25.749912953427746,14.30449610156303
60.11150117432088,4.521867010618941,20.922608017405196,1,0.972697263540738,3.8304429233739175,98.1143731791822,0.8892650708984049,7,600,17.122147076770517,400.061291772605,13.908662230303495,36.13843380053978
70.80725777960456,2.6366974497252005,8.920470221176522,0,0.33074107916986,5.914598072703152,56.95397795671037,4.505627141598005,21,509,18.80479462524374,282.7271218224541,23.528138979201508,47.265352012581836
2.0584494295802447,37.64633668780496,27.73188586129591,1,1.021409593708339,3.9940410213091524,25.954178317609035,9.64577454232136,24,694,21.31697973681169,438.26693963950856,28.406405890230708,45.85383897349066
96.99098521619943,81.0553330781833,29.131747354961032,1,0.6691819716997873,4.446123174336248,43.699588566562085,5.201666793067613,15,755,18.20371252123721,145.69485543655833,8.25510337464204,29.171310757204555
83.24426408004217,98.72761293149445,28.32799467340302,0,0.8097611814466243,3.588293138215179,59.35609353787859,11.966188246835404,2,308,20.037552360117626,202.1413400915606,11.938810391422715,23.13051516284892
21.233911067827616,15.041689110352818,14.226426499723914,1,0.8274831377646261,4.832340213227305,7.308156202701499,6.708711419359226,23,571,12.837249378453484,431.1905854009006,27.94436977790042,40.91502547196909
18.182496720710063,59.41307153521351,25.861279529679404,1,1.0160941925652291,3.842049646547923,62.234326461724606,3.853945831631442,20,405,15.859395109369274,251.19761545046123,10.146929019518545,34.1663181313865
